IMDB_title_ID, Original_title                                                      , Release_year, Genre                          , Duration, Country     , Content_Rating, Director                         , Income      , Votes    , Score
tt0111161    , The Shawshank Redemption                                            ,         1995, Drama                          ,    142.0, USA         , R             , Frank Darabont                   ,   28815245.0, 2278845.0,   9.3
tt0068646    , The Godfather                                                       ,             , "Crime, Drama"                 ,    175.0, USA         , R             , Francis Ford Coppola             ,  246120974.0, 1572674.0,   9.2
tt0468569    , The Dark Knight                                                     ,             , "Action, Crime, Drama"         ,    152.0, US          , PG-13         , Christopher Nolan                , 1005455211.0, 2241615.0,   9.0
tt0071562    , The Godfather: Part II                                              ,             , "Crime, Drama"                 ,    220.0, USA         , R             , Francis Ford Coppola             ,             , 1098714.0,   9.0
tt0110912    , Pulp Fiction                                                        ,         1994, "Crime, Drama"                 ,         , USA         , R             , Quentin Tarantino                ,  222831817.0, 1780147.0,    
tt0167260    , The Lord of the Rings: The Return of the King                       ,             , "Action, Adventure, Drama"     ,    201.0, New Zealand , PG-13         , Peter Jackson                    , 1142271098.0, 1604280.0,   8.9
tt0108052    , Schindler's List                                                    ,         1994, "Biography, Drama, History"    ,         , USA         , R             , Steven Spielberg                 ,  322287794.0, 1183248.0,   8.9
tt0050083    , 12 Angry Men                                                        ,             , "Crime, Drama"                 ,     96.0, USA         , Not Rated     , Sidney Lumet                     ,        576.0,  668473.0,   8.9
tt1375666    , Inception                                                           ,         2010, "Action, Adventure, Sci-Fi"    ,    148.0, USA         , PG-13         , Christopher Nolan                ,  869784991.0, 2002816.0,   8.8
tt0137523    , Fight Club                                                          ,             , Drama                          ,         , UK          , R             , David Fincher                    ,  101218804.0, 1807440.0,   8.8
tt0109830    , Forrest Gump                                                        ,         1994, "Drama, Romance"               ,    142.0, USA         , PG-13         , Robert Zemeckis                  ,  678229452.0, 1755490.0,  88.0
tt0120737    , The Lord of the Rings: The Fellowship of the Ring                   ,         2002, "Action, Adventure, Drama"     ,         , New Zesland , PG-13         , Peter Jackson                    ,  887934303.0, 1619920.0,   8.8
tt0060196    , "Il buono, il brutto, il cattivo"                                   ,             , Western                        ,    161.0, Italy       , Approved      , Sergio Leone                     ,   25252481.0,  672499.0,   8.8
             ,                                                                     ,             ,                                ,         ,             ,               ,                                  ,             ,          ,    
tt0133093    , The Matrix                                                          ,         1999, "Action, Sci-Fi"               ,         , USA         , R             , "Lana Wachowski, Lilly Wachowski",  465718588.0, 1632315.0,   8.7
tt0167261    , The Lord of the Rings: The Two Towers                               ,             , "Action, Adventure, Drama"     ,    179.0, New Zeland  , PG-13         , Peter Jackson                    ,  951227416.0, 1449778.0,    
tt0080684    , Star Wars: Episode V - The Empire Strikes Back                      ,             , "Action, Adventure, Fantasy"   ,         , USA         , PG            , Irvin Kershner                   ,  549265501.0, 1132073.0,   8.7
tt0099685    , Goodfellas                                                          ,         1990, "Biography, Crime, Drama"      ,    146.0, USA         , R             , Martin Scorsese                  ,   46879633.0,  991505.0,   8.7
tt0073486    , One Flew Over the Cuckoo's Nest                                     ,             , Drama                          ,         , USA         , R             , Milos Forman                     ,  108997629.0,  891071.0,   8.7
tt0816692    , Interstellar                                                        ,         2014, "Adventure, Drama, Sci-Fi"     ,    169.0, USA         , PG-13         , Christopher Nolan                ,  696742056.0, 1449256.0,   8.6
tt0114369    , Se7en                                                               ,         1995, "Crime, Drama, Mystery"        ,    127.0, USA         , R             , David Fincher                    ,  327333559.0, 1402015.0,   8.6
tt0102926    , The Silence of the Lambs                                            ,         1991, "Crime, Drama, Thriller"       ,    118.0, USA         , R             , Jonathan Demme                   ,  272753884.0, 1234134.0,   8.6
tt0076759    , Star Wars                                                           ,             , "Action, Adventure, Fantasy"   ,    121.0, USA         , PG            , George Lucas                     ,  775768912.0, 1204107.0,   8.6
tt0120815    , Saving Private Ryan                                                 ,         1998, "Drama, War"                   ,    169.0, USA         , R             , Steven Spielberg                 ,  482349603.0, 1203825.0,   8.6
tt0120689    , The Green Mile                                                      ,         2000, "Crime, Drama, Fantasy"        ,    189.0, US.         , R             , Frank Darabont                   ,  286801374.0, 1112336.0,   8.6
tt0317248    , Cidade de Deus                                                      ,         2003, "Crime, Drama"                 ,    130.0, Brazil      , R             , "Fernando Meirelles, Kátia Lund" ,   30680793.0,  685856.0,   8.6
tt0245429    , Sen to Chihiro no kamikakushi                                       ,         2003, "Animation, Adventure, Family" ,    125.0, Japan       , PG            , Hayao Miyazaki                   ,  355467056.0,  626693.0,   8.6
tt0118799    , La vita B9 bella                                                    ,         1997, "Comedy, Drama, Romance"       ,    116.0, Italy1      ,               , Roberto Benigni                  ,  230098753.0,  605648.0,   8.6
tt6751668    , Gisaengchung                                                        ,         2019, "Comedy, Drama, Thriller"      ,    132.0, South Korea ,               , Bong Joon Ho                     ,  257604912.0,  470931.0,   8.6
tt0038650    , It's a Wonderful Life                                               ,             , "Drama, Family, Fantasy"       ,    130.0, USA         , PG            , Frank Capra                      ,    6130720.0,  388310.0,   8.6
tt0047478    , Shichinin no samurai                                                ,             , "Action, Adventure, Drama"     ,    207.0, Japan       , Unrated       , Akira Kurosawa                   ,     322773.0,  307958.0,   8.6
tt0172495    , Gladiator                                                           ,         2000, "Action, Adventure, Drama"     ,    155.0, USA         , R             , Ridley Scott                     ,  465361176.0, 1308193.0,   8.5
tt0407887    , The Departed                                                        ,         2006, "Crime, Drama, Thriller"       ,    151.0, USA         , R             , Martin Scorsese                  ,  291465034.0, 1159703.0,   8.5
tt0482571    , The Prestige                                                        ,         2006, "Drama, Mystery, Sci-Fi"       ,    130.0, UK          , PG-13         , Christopher Nolan                ,  109676311.0, 1155723.0,   8.5
tt0088763    , Back to the Future                                                  ,             , "Adventure, Comedy, Sci-Fi"    ,    116.0, USA         , PG            , Robert Zemeckis                  ,  388774684.0, 1027330.0,   8.5
tt0120586    , American History X                                                  ,         1999, Drama                          ,    119.0, USA         , R             , Tony Kaye                        ,   23875127.0, 1014218.0,   8.5
tt0110413    , Léon                                                                ,         1995, "Action, Crime, Drama"         ,    110.0, France      ,               , Luc Besson                       ,   19552639.0, 1007598.0,   8.5
tt0103064    , Terminator 2: Judgment Day                                          ,         1991, "Action, Sci-Fi"               ,    137.0, USA         , R             , James Cameron                    ,  520884847.0,  974970.0,   8.4
tt0114814    , The Usual Suspects                                                  ,         1995, "Crime, Mystery, Thriller"     ,    106.0, USA         , R             , Bryan Singer                     ,   23341568.0,  968947.0,   8.4
tt0110357    , The Lion King                                                       ,         1994, "Animation, Adventure, Drama"  ,     88.0, USA         , G             , "Roger Allers, Rob Minkoff"      ,  968511805.0,  917248.0,   8.4
tt7286456    , Joker                                                               ,         2019, "Crime, Drama, Thriller"       ,    122.0, USA         ,               , Todd Phillips                    , 1074251311.0,  855097.0,   8.4
tt1675434    , Intouchables                                                        ,         2012, "Biography, Comedy, Drama"     ,    112.0, France      ,               , "Olivier Nakache, Éric Toledano" ,  426588510.0,  736691.0,   8.4
tt0253474    , The Pianist                                                         ,         2002, "Biography, Drama, Music"      ,    150.0, UK          , R             , Roman Polanski                   ,  120072577.0,  707942.0,   8.4
tt2582802    , Whiplash                                                            ,         2015, "Drama, Music"                 ,    106.0, USA         , R             , Damien Chazelle                  ,   48983260.0,  690732.0,   8.4
tt0054215    , Psycho                                                              ,             , "Horror, Mystery, Thriller"    ,    109.0, USA         , R             , Alfred Hitchcock                 ,   32008644.0,  586765.0,   8.3
tt0034583    , Casablanca                                                          ,             , "Drama, Romance, War"          ,    102.0, USA         , PG            , Michael Curtiz                   ,    4374761.0,  509953.0,   8.3
tt0064116    , C'era una volta il West                                             ,             , Western                        ,    165.0, Italy       , PG-13         , Sergio Leone                     ,     112911.0,  295220.0,   8.3
tt0095327    , Hotaru no haka                                                      ,         2015, "Animation, Drama, War"        ,     89.0, Japan       ,               , Isao Takahata                    ,     516962.0,  225438.0,   8.3
tt0095765    , Nuovo Cinema Paradiso                                               ,             , Drama                          ,    155.0, Italy       ,               , Giuseppe Tornatore               ,   13826605.0,  223050.0,   8.3
tt0027977    , Modern Times                                                        ,             , "Comedy, Drama, Family"        ,     87.0, USA         , G             , Charles Chaplin                  ,     457688.0,  211250.0,   8.3
tt1345836    , The Dark Knight Rises                                               ,         2012, "Action, Adventure"            ,    164.0, UK          , PG-13         , Christopher Nolan                , 1081133191.0, 1480582.0,   8.3
tt1853728    , Django Unchained                                                    ,         2013, "Drama, Western"               ,    165.0, USA         , R             , Quentin Tarantino                ,  425368238.0, 1317856.0,   8.3
tt0209144    , Memento                                                             ,         2001, "Mystery, Thriller"            ,    113.0, USA         , R             , Christopher Nolan                ,   39970386.0, 1098879.0,   8.2
tt0910970    , WALL·E                                                              ,         2008, "Animation, Adventure, Family" ,     98.0, USA         , G             , Andrew Stanton                   ,  521311860.0,  974734.0,   8.2
tt0081505    , The Shining                                                         ,             , "Drama, Horror"                ,    146.0, UK          , R             , Stanley Kubrick                  ,   46520613.0,  869480.0,   8.2
tt0082971    , Raiders of the Lost Ark                                             ,             , "Action, Adventure"            ,    115.0, USA         , PG            , Steven Spielberg                 ,  390133212.0,  865510.0,   8.2
tt4154756    , Avengers: Infinity War                                              ,         2018, "Action, Adventure, Sci-Fi"    ,    149.0, USA         ,               , "Anthony Russo, Joe Russo"       , 2048359754.0,  796486.0,   8.2
